,contextId,context,question
0,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.","1. Which organizations won awards at the ""5 to Watch 2023"" event?"
1,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.","2. Where can individuals learn about the awards given out at the ""5 to Watch 2023"" event?"
2,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",3. How can individuals contact George Brown College for more information?
3,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",4. What phone numbers can be used to contact George Brown College?
4,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",5. What is the TTY number for contacting George Brown College?
5,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",6. What email address can be used to contact George Brown College?
6,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.","7. Where can interested individuals find out about land acknowledgment on the ""5 to Watch 2023"" website?"
7,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.","8. How can individuals sign up for updates regarding the ""5 to Watch 2023"" event?"
8,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",9. How much money has been raised in student scholarship funds through this annual fundraiser?
9,f5a76ef3-a796-4e47-87e6-bf4caea9203f," The ""5 to Watch 2023"" event has concluded and the following organizations won awards: Golf Canada, Project 8 (twice), XMC, Toronto Blue Jays, Canadian Tire, Hockey Canada, Professional Women’s Hockey League, NBA Canada, and Project 8 again. This annual fundraiser, unique to Canada, has raised over $400,000 in student scholarship funds. Interested individuals can learn about the awards, view partners, learn more about land acknowledgment, and sign up for updates by visiting the website or social media hub. Contact information: 416-415-2000 (voice) and 1-877-515-5559 (TTY), ask.george@georgebrown.ca. The content of this website is subject to change without notice, and it should not be considered a representation or warranty; students are responsible for verifying George Brown College fee requirements.",10. What should students keep in mind regarding the content of the George Brown College website?
